batter_name,xwoba,spray xwoba,pa,diff
connor wong,0.07861860782957154,0.10073216616146202,6.0,0.02211355833189048
cooper hummel,0.3128305020805662,0.3035862603170449,119.0,-0.009244241763521288
corey dickerson,0.2749927921731534,0.27387733474598,104.0,-0.0011154574271734496
corey seager,0.36753753492059626,0.36745726274717144,304.0,-8.02721734248224e-05
cristian pache,0.2604761759751273,0.26711018300607553,208.0,0.006634007030948241
curt casali,0.2861994292803097,0.289000046590869,118.0,0.0028006173105592502
dairon blanco,0.05493753766974701,0.1302244999309276,7.0,0.07528696226118059
dan vogelbach,0.3527485845670154,0.34726212256140465,208.0,-0.005486462005610759
danny jansen,0.3704499776662156,0.38583122088028393,61.0,0.015381243214068308
danny mendick,0.2885297870199405,0.2994909346132218,106.0,0.010961147593281317
dansby swanson,0.3660238553731963,0.36205061252112775,305.0,-0.00397324285206857
darin ruf,0.3361432805279842,0.33148123174669225,240.0,-0.00466204878129195
daulton varsho,0.3200058961284637,0.3146931072756551,273.0,-0.005312788852808614
david bote,0.26245804283358937,0.318038230786555,8.0,0.055580187952965654
david fletcher,0.30137421145232957,0.2899073147695436,41.0,-0.011466896682785943
david mackinnon,0.4001833249426347,0.36712913268906006,18.0,-0.033054192253574644
david peralta,0.3238465912772989,0.3081166802460579,234.0,-0.01572991103124105
daz cameron,0.3099302664110104,0.32199013705696256,61.0,0.012059870645952153
dee strange-gordon,0.22345596805632945,0.2324816119791627,59.0,0.009025643922833254
derek hill,0.23350939168280335,0.22086236546838853,92.0,-0.012647026214414825
didi gregorius,0.2967712536992577,0.29220765196634657,138.0,-0.004563601732911149
diego castillo,0.2920730545262015,0.29100589551958583,196.0,-0.0010671590066156922
dillon thomas,0.40735819647006055,0.39347900367412547,4.0,-0.01387919279593508
dj lemahieu,0.3588593735380078,0.36348312331762334,274.0,0.004623749779615549
dj stewart,0.016827019861582696,0.02919586413987121,3.0,0.012368844278288514
dom nunez,0.24626865248621913,0.2266654203204138,36.0,-0.019603232165805312
dominic smith,0.28980957315912237,0.2942329016851619,109.0,0.004423328526039549
donovan solano,0.3733572206200855,0.4204943380309727,18.0,0.04713711741088722
donovan walton,0.24180172066141925,0.2559612389203754,62.0,0.014159518258956172
drew ellis,0.2071256242539337,0.213817651374752,17.0,0.006692027120818317
drew jackson,0.05070517281592232,0.04414429687120915,3.0,-0.0065608759447131695
dustin garneau,0.31503024419032466,0.3128623931279649,11.0,-0.0021678510623597824
dylan carlson,0.3095363957538217,0.32041367190162495,220.0,0.010877276147803261
dylan moore,0.3340640794875821,0.342274442596756,122.0,0.00821036310917389
eddie rosario,0.2257482380796077,0.20974776556269015,49.0,-0.016000472516917552
eddy alvarez,0.19164562657155965,0.19426378738973893,22.0,0.0026181608181792826
edmundo sosa,0.25690905057242064,0.2497909440093536,90.0,-0.00711810656306705
eduardo escobar,0.2830037888592455,0.2749623529422294,286.0,-0.00804143591701606
edward olivares,0.3721592744545416,0.4103615143788462,52.0,0.038202239924304604
edwin rios,0.3144847310506557,0.31151996995751546,91.0,-0.0029647610931402557
ehire adrianza,0.24704891856813682,0.2309965720280902,34.0,-0.016052346540046614
elehuris montero,0.33361900984982057,0.2764071551250319,21.0,-0.05721185472478868
eli white,0.2562714055418246,0.2600047661585996,117.0,0.0037333606167749833
elias diaz,0.2776517794769098,0.27829042906912155,177.0,0.0006386495922117708
eloy jiménez,0.29196692875038566,0.28919078572623313,39.0,-0.002776143024152522
elvis andrus,0.28285215438152767,0.29063339597374355,249.0,0.007781241592215882
emmanuel rivera,0.3195564115711953,0.32456178304469113,151.0,0.005005371473495834
enrique hernandez,0.3033485244104826,0.28459120757434214,238.0,-0.01875731683614046
eric haase,0.3227498635101927,0.3128227869383395,123.0,-0.00992707657185321
eric hosmer,0.3232784605961407,0.32804455574245356,271.0,0.0047660951463128765
erik gonzalez,0.26927619079070947,0.26493526810492174,39.0,-0.004340922685787729
ernie clement,0.27849603113288207,0.26331886934453924,114.0,-0.01517716178834283
estevan florial,0.33239903189023917,0.30307876078912904,12.0,-0.02932027110111013
eugenio suarez,0.34354692605120707,0.3495233598868781,315.0,0.005976433835671036
